Brant Volunteer Fire Co.1,Brant-Farnham Road,Brant
Chiavetta's Catering Service,10654 Brant-Angola Road,Brant
Lynn's Catering & Cakes (W),10323 Versailles Plank Road,Brant
Wilson Enterprises Commissary,10496 Southwestern Boulevard,Brant
Wilson Enterprises Lemonade #2 Cart,10496 Southwestern Boulevard,Brant
Wilson Enterprises Pizza - Century,10496 Southwestern Boulevard,Brant
"Wilson Enterprises Pizza,Calzone & Fried Dough - Southern",10496 Southwestern Boulevard,Brant
Wilson Fried Dough & Lemonade #1,10496 Southwestern Boulevard,Brant
Wilson Fried Dough & Lemonade #2,10496 Southwestern Boulevard,Brant
Wilson Fried Dough & Lemonade #3,10496 Southwestern Boulevard,Brant
"Utter Delights ""A""",7399 Willow Acres Road,Canastota
Fitness Connection,12399 Olean Road,Chaffee
Tim Hortons Restaurant,12479 Olean Road,Chaffee
Thai Me Up Food Truck,5354 Genesee Street,Bowmansville
"Kolassa Enterprises, LLC",219 Gilman Road,Churchville
Antique World/Tammy's Snack Bar,10995 Main Street,Clarence
Applebee's,5017 Transit Road,Clarence
Asa Ransom House Restaurant,10529 Main Street,Clarence
Auntie Anne's Soft Pretzels NY 127,4545 Transit Road,Clarence
Babycakes Cupcakery,10070 Main Street,Clarence
Barnes and Noble Booksellers,4401 Transit Road Suite 800,Clarence
Big Sings,6251 Goodrich Road,Clarence
Bill Gray's Restaurant,8214 Main Street,Clarence
Bison Billiards,8216 Main Street,Clarence
Boardwalk Cafe,11071 Main Street,Clarence
Brennan's Bowery Bar,4401 Transit Road,Clarence
Brookfield Country Club,5120 Shimerville Road,Clarence
Brookfield Country Club Halfway House,5120 Shimerville Road,Clarence
Brookfield Country Club Snack Bar,5120 Shimerville Road,Clarence
Brothers of Mercy at Montbaur Heights Apartment Complex,4530 Ransom Road,Clarence
Buffalo Joe's,8611 Main Street,Clarence
Burger King #495,5345 Transit Road,Clarence
Burger Stop,4545 Transit Road,Clarence
Caffe Espresso,4401 Transit Road,Clarence
Caldon's 3 Dog Country Cafe,8865 Sheridan Drive,Clarence
Chili's Grill & Bar,4153 Transit Road,Clarence
China Panda II,4545 Transit Road Suite 564,Clarence
Clarence Bowling Inc,10718 Main Street,Clarence
Clarence Center Coffee Company & Cafe,9475 Clarence Center Road,Clarence
Clarence Center Elementary School,9600 Clarence Center Road,Clarence
Clarence Center Volunteer Fire Company,9415 Clarence Center Road,Clarence
Clarence Country Doughnuts,10446 Main Street,Clarence
Clarence Grille,10250 Main Street,Clarence
Clarence Middle School,10150 Greiner Road,Clarence
"Clarence Pizza Co., Inc.",6235 Goodrich Road,Clarence
Clarence Senior Center,4600 Thompson Road,Clarence
Clarence Senior High School - West & East,9625 Main Street,Clarence
Clarence Travel Plaza,402 Ransom Road,Clarence
Clarence United Methodist Church,10205 Greiner Road,Clarence
Cozy Cafe and Catering,9060 Main Street,Clarence
Cravings,5375 Old Goodrich Road,Clarence
Dairy Queen,5445 Transit Road,Clarence
Domino's Pizza,5855 Transit Road,Clarence
Duff's Famous Wings,4545  Transit Road,Clarence
Dunkin' Donuts,9430 Main Street,Clarence
Eastern Hills Cinema,4545 Transit Road,Clarence
El Ranchito Mexican Restaurant,9780 Main Street,Clarence
Emily's Family Diner,9105 Sheridan Drive,Clarence
Falletta's Restaurant,8255 Clarence Center Road,Clarence
Gate House Grill,8220 Main Street,Clarence
Gerties,6010 Goodrich Road,Clarence
Gianni Mazias on Main,10325 Main Street,Clarence
Gino's Italian Bakery,10225 Main Street,Clarence
Goodrich Coffee And Tea,9450 Main Street,Clarence
Greatbatch Inc,10000 Wehrle Drive,Clarence
Greenwood Golf Inc,8499 Northfield Road,Clarence
Griffon Gastropub,5445 Transit Road,Clarence
Harris Hill Elementary School,4260 South Harris Hill Road,Clarence
Harris Hill Volunteer Fire Company,8630 Main Street,Clarence
Hayes Seafood House,8900 Main Street,Clarence
Helen's Kitchen,4187 Transit Road,Clarence
Heritage Christian Services Day Habilitation,5375 Old Goodrich Road,Clarence
Jim's Steak Out,5651 Transit Road,Clarence
Just Pizza,5445 Transit Road,Clarence
Kabob & Curry,8445 Main Street,Clarence
Kennedy's Cove,9800 Main Street,Clarence
Larosa New York Pizza,4545 Transit Road,Clarence
Ledgeview Elementary School,5150 Old Goodrich Road,Clarence
Mardee's,9475 Maple Street,Clarence
Moe's Southwest Grill,5063 Transit Road,Clarence
Montgomery Park,6363 Transit Road,Clarence
Murphy Brown's,9500 Main Street,Clarence
Nanas Mediterranean Restaurant,4545 Transit Road,Clarence
Nativity Of Mary School,8550 Main Street,Clarence
Ohlson's Bakery & Cafe,8500 Sheridan Drive,Clarence
Old Country Buffet #138,4401 Transit Road,Clarence
Orazio's Restaurant,9415 Main Street,Clarence
Our Lady Of Peace Roman Catholic Church,10950 Main Street,Clarence
Pautler's Drive In of Clarence,6343 Transit Road,Clarence
Penny Lane Cafe,10255 Main Street,Clarence
Pesci's Pizza,8065 Main Street,Clarence
Pizza Supreme,8550 Sheridan Drive,Clarence
Pomegranate,4125 Transit Road,Clarence
Pop-n-Bob's Old Fashioned Kettle Corn Commissary,11111 Main Street,Clarence
Pop-n-Bob's Old Fashioned Kettle Corn Mobile Unit,11111 Main Street,Clarence
Pop-n-Bob's Old Fashioned Kettle Corn Stand,10995 Main Street,Clarence
Rocky's,4545 Transit Road,Clarence
Royal Pizza & Italian Bistro,10971 Main Street,Clarence
Ruzzine's Rock Bottom,6261 Transit Road,Clarence
Salsarita's Fresh Cantina,4375 Transit Road,Clarence
Samuel's Grande Manor,8750 Main Street,Clarence
"Smoke, Fire & Spice",10189 Main Street,Clarence
Staybridge Suites Food Service,8005 Sheridan Drive,Clarence
St. Mary's School,6919 Transit Road,Clarence
Subway,4307 Transit Road,Clarence
Subway #31301,5033 Transit Road,Clarence
Sweet Elegance,9393 Main Street,Clarence
Sweet Melody's,8485 Transit Road,Clarence
Sweet Melody's Mobile,8485 Transit Road,Clarence
Sweet Melody's Push Cart,8485 Transit Road,Clarence
Sweet Melody's Uncorked,8485 Transit Road,Clarence
The Cheesy Chick,4100 Faber Lane,Clarence
The Cornerstone Bar & Grill,10651 Main Street,Clarence
The Hollow Bistro,10641 Main Street,Clarence
The Sweet Hearth,51 Colonial Circle,Clarence
The Sweet Hearth,6721 Salt Road,Clarence
Tim Hortons,9220 Main Street,Clarence
Town of Clarence - Clubhouse,10405 Main Street,Clarence
Tully's Good Times,8070 Main Street,Clarence
Vinecroft Retirement Community,5945 Vinecroft Drive,Clarence
Wild Bill Hickory,9840 County Road,Clarence
Wild Bill Hickory,9840 County Road,Clarence
7K Unlimited Inc.,2600 Harlem Road,Cheektowaga
Airport Pizzeria/Excellence Ca,3648 Genesee Street,Cheektowaga
Aloft Buffalo Airport Food Service,4219 Genesee Street,Cheektowaga
Altons Restaurant,2250 Walden Avenue,Cheektowaga
AMF Airport Lanes #220,3754 Genesee Street,Cheektowaga
Anchor Bar at BNIA,4200 Genesee Street,Cheektowaga
Anchor Inn,2437 William Street,Cheektowaga
Anderson's Frozen Custard,3724 Union Road,Cheektowaga
Applebee's Neighborhood Grill,1785 Walden Avenue,Cheektowaga
Apples Deli,Appletree Business Park Suite 6,Cheektowaga
Arby's Restaurant F204,One Walden Galleria Drive,Cheektowaga
Athens Restaurant,2801 Harlem Road,Cheektowaga
Auntie Annie's Pretzel Kiosk NY 160,One Walden Galleria Mall B103,Cheektowaga
Auntie Annie's Soft Pretzels NY 151,One Walden Galleria Mall B121,Cheektowaga
AVI Foodsystems Inc,80 French Road,Cheektowaga
A.J.'s Lounge,1028 Walden Avenue,Cheektowaga
Backstage Pub,603 Dingens Street,Cheektowaga
Baker Victory Academy,120 Alexander Avenue,Cheektowaga
Bar Louie Buffalo,One Walden Galleria Drive,Cheektowaga
Bellevue Hotel,544 Como Park Boulevard,Cheektowaga
Best Western Galleria Inn and Suites,601 Dingens Street,Cheektowaga
Best Western Inn,4630 Genesee Street,Cheektowaga
Bianca's Pizza Place,4923 Genesee Street,Cheektowaga
Billy Beez,One Walden Galleria Drive,Cheektowaga
Blue Zone at BNIA,4200 Genesee Street,Cheektowaga
Bob's Poplar Pizza,2912 William Street,Cheektowaga
Bobby J's,204 Como Park Boulevard,Cheektowaga
Bravo Cucina Italiana,One Walden Galleria Drive,Cheektowaga
Broadway Sports Center,3500 Broadway Street,Cheektowaga
Burger King Restaurant #615,600 Thruway Plaza,Cheektowaga
Burger King #490,4199 Union Road,Cheektowaga
Burger King #516,1459 French Road,Cheektowaga
Cake Crazy Bakery,2525 William Street,Cheektowaga
Captains Cove,829 Dick Road,Cheektowaga
Catalyst Fitness,770 Wehrle Drive,Cheektowaga
Catholic Club Of Cheektowaga,2735 Union Road Rear Building,Cheektowaga
Catholic Club of Cheektowaga,2735 Union Road Front Bldg,Cheektowaga
Cayuga Village Apartments,100 Hutchens Drive,Cheektowaga
Charley's Grilled Subs,One Walden Galleria Drive,Cheektowaga
Charlie The Butcher's Catering,446 Cayuga Road,Cheektowaga
Checkers,2563 Union Road,Cheektowaga
Checkers at BNIA,4200 Genesee Street,Cheektowaga
Cheektowaga Central School,3600 Union Road,Cheektowaga
Cheektowaga Senior Center,3349 Broadway Street,Cheektowaga
Cheektowaga Youth & Recreation,275 Alexander Avenue,Cheektowaga
Chick-N-Pizza Works,2940 Union Road,Cheektowaga
China Express,3800 Union Road,Cheektowaga
China Jade Kitchen,2509 Harlem Road,Cheektowaga
Chipotle Mexican Grill,1717 Walden Avenue,Cheektowaga
Chozen Frozen,One  Walden Galleria Drive,Cheektowaga
Clarion Hotel Food Service,6700 Transit Road,Cheektowaga
Cleveland Hill School Cafeteria,105 Mapleview Drive,Cheektowaga
Coffee Culture Cafe & Eatery,One  Walden Galleria Drive,Cheektowaga
Comfort Inn Food Service,475 Dingens Street,Cheektowaga
Courtyard by Marriott,4243  Genesee Street,Cheektowaga
Crabapples,3298 Genesee Street,Cheektowaga
Crafts By Fran,2875 Union Road 47,Cheektowaga
Creekside Banquet & Picnic Grove,2669 Union Road,Cheektowaga
Dairy Queen,3759 Harlem Road,Cheektowaga
Dairy Queen,465 French Road,Cheektowaga
Danny's Restaurant,3715 Genesee Street,Cheektowaga
Dave and Buster's,One Walden Galleria Drive Unit TH171,Cheektowaga
