AIRPORT DINER,3760 VETERANS MEM. HWY.,Amagansett,NY,11716
ANTHONYS COAL FIRED PIZZA,4180 VETERANS MEMORIAL HIGHWAY,Amagansett,NY,11716
APPLEBEES NEIGHBORHOOD GRILL,3870 VETERANS HIGHWAY,Amagansett,NY,11716
BARRACKS,1132 SMITHTOWN AVENUE,Amagansett,NY,11716
BASKIN ROBBINS,4597 SUNRISE HIGHWAY,Amagansett,NY,11716
BOHEMIAS LITTLE BAGEL SHOP,1097 SMITHTOWN AVENUE,Amagansett,NY,11716
BOILED & BAKED LTD.,4641 SUNRISE HIGHWAY,Amagansett,NY,11716
BUONA FORTUNA PIZZA,876 CHURCH STREET,Amagansett,NY,11716
BURGER KING,5141 SUNRISE HIGHWAY,Amagansett,NY,11716
CALIFORNIA CACTUS GRILL,3320 VETERANS HIGHWAY,Amagansett,NY,11716
CHICOS DELI,3326 VETERANS MEMORIAL HWY.,Amagansett,NY,11716
CONNETQUOT HIGH SCHOOL,190 SEVENTH STREET,Amagansett,NY,11716
COOKYS DELI,1450 CHURCH STREET,Amagansett,NY,11716
DUNKIN DONUTS,4541 SUNRISE HIGHWAY,Amagansett,NY,11716
DUNKIN DONUTS/BASKIN ROBBINS,1573 LAKELAND AVENUE,Amagansett,NY,11716
EDWARD J. BOSTI ELEMENTARY SCH,50 BOURNE BLVD.,Amagansett,NY,11716
ELEANORS LOUNGE,4103 SUNRISE HIGHWAY,Amagansett,NY,11716
FLORIAN FOOD @DATA DEVICE,105 WILBUR AVENUE,Amagansett,NY,11716
FLORIAN FOOD @DAYTN BROWN,1175 CHURCH STREET,Amagansett,NY,11716
GOLDEN DRAGON KITCHEN,1126 SMITHTOWN AVENUE,Amagansett,NY,11716
GOOD & PLENTY EATS,280 KNICKERBOCKER AVENUE,Amagansett,NY,11716
GOVERNORS COMEDY @ MCGUIRES,1627 SMITHTOWN AVENUE,Amagansett,NY,11716
HERO EXPRESS,1574 LAKELAND AVE,Amagansett,NY,11716
JOES SIRLOIN BURGER & GRILL,1400 LAKELAND AVENUE,Amagansett,NY,11716
JOHN PEARL ELEMENTARY SCHOOL,1070 SMITHTOWN AVENUE,Amagansett,NY,11716
KNOCKOUTS BAR,3328 VETERANS HIGHWAY,Amagansett,NY,11716
LIZARD LOUNGE,4589 SUNRISE HIGHWAY,Amagansett,NY,11716
LOCUST AVE DELI,1090 LOCUST AVENUE,Amagansett,NY,11716
MARIOS PIZZA OF BOHEMIA,1089 SMITHTOWN AVENUE,Amagansett,NY,11716
MCDONALDS,3850 VETERANS HWY,Amagansett,NY,11716
MJS DELI,1460-C SMITHTOWN AVENUE,Amagansett,NY,11716
NEW FOOK FUNG RESTAURANT,4607 SUNRISE HIGHWAY,Amagansett,NY,11716
NEW YORK DELI & PIZZA CO.,125 WILBUR PLACE,Amagansett,NY,11716
NYSARC - SUFFOLK CHAPTER,55 CROSSWAYS EAST ROAD,Amagansett,NY,11716
PANERA BREAD,5191 SUNRISE HIGHWAY,Amagansett,NY,11716
QUIZNOS 4459,4611 SUNRISE HIGHWAY,Amagansett,NY,11716
REAL GOOD TASTE,1093 SMITHTOWN AVENUE,Amagansett,NY,11716
RED APPLE KITCHEN,3318 VETERANS MEMORIAL HWY,Amagansett,NY,11716
SAVIANOS RESTAURANT,4645 SUNRISE HIGHWAY,Amagansett,NY,11716
STARBUCKS COFFEE #20136,4180 VETERANS MEMORIAL HIGHWAY,Amagansett,NY,11716
STARBUCKS COFFEE #7503,4577 SUNRISE HIGHWAY,Amagansett,NY,11716
SUBWAY,3460-14 VETS MEMORIAL HIGHWAY,Amagansett,NY,11716
SYCAMORE AVE ELEMENARTY SCHOOL,745 SYCAMORE AVENUE,Amagansett,NY,11716
TEMPTATIONS,10 CARLOUGH ROAD,Amagansett,NY,11716
THE BBQ KING,87A CARLOUGH ROAD,Amagansett,NY,11716
THE GARAGE PIT STOP,3010 VETERANS MEMORIAL HIGHWAY,Amagansett,NY,11716
TWISTED KILT,4777 SUNRISE HIGHWAY,Amagansett,NY,11716
WATSONS PUBLIC HOUSE,876A CHURCH STREET,Amagansett,NY,11716
WEST BABYLON BOOSTER CLUB,1644 LOCUST AVENUE,Amagansett,NY,11716
BROTHERS FOUR,310 MAIN STREET,Bay Shore,NY,11934
BUCKLEYS IRISH PUB,386 MAIN STREET,Bay Shore,NY,11934
CARVEL,536 MAIN ST.,Bay Shore,NY,11934
CENTER MORICHES SECONDARY SCHO,311 FROWIEN ROAD,Bay Shore,NY,11934
CLAYTON HUEY ES,511 MAIN STREET,Bay Shore,NY,11934
DLC CATERING,617 MONTAUK HIGHWAY,Bay Shore,NY,11934
EL SABOR DEL PUEBLO,430-5 MAIN STREET,Bay Shore,NY,11934
GOURMET GARDEN,802 MAIN STREET,Bay Shore,NY,11934
KNIGHTS OF COLUMBUS,313 FROWEIN ROAD,Bay Shore,NY,11934
LA VOLPE,611 MONTAUK HIGHWAY,Bay Shore,NY,11934
MCDONALDS,626 MONTAUK HIGHWAY,Bay Shore,NY,11934
MICHELANGELO OF CENTER MO,794 MONTAUK HWY.,Bay Shore,NY,11934
MORICHES BAGEL DELI,329 MAIN STREET,Bay Shore,NY,11934
MORICHES NUTRITION PROGRAM,9 LAKE AVENUE,Bay Shore,NY,11934
MORICHES YACHT CLUB,UNION AVENUE,Bay Shore,NY,11934
NETTIES COUNTRY BAKERY,177 MONTAUK HIGHWAY,Bay Shore,NY,11934
OUR LADY QUEEN OF APOSTLES,2 ST JOHNS PLACE,Bay Shore,NY,11934
POWERHOUSE GYM,"15 FROWEIN ROAD, BLDG. D",Bay Shore,NY,11934
RAILROAD DELI,122 RAILROAD AVENUE,Bay Shore,NY,11934
SEA COVE RESTAURANT,361 MAIN STREET,Bay Shore,NY,11934
SEASONS OF CHINA TAKE OUT,391 MAIN STREET,Bay Shore,NY,11934
SENIX CREEK INN,50 SENIX AVENUE,Bay Shore,NY,11934
SUBWAY,615 MONTAUK HIGHWAY,Bay Shore,NY,11934
THE COTTAGE AT MORICHES,334 MAIN STREET,Bay Shore,NY,11934
ULTIMATE ICE CREAM & CAFE,252 MAIN STREET,Bay Shore,NY,11934
VFW #414,437 MAIN STREET,Bay Shore,NY,11934
WENDYS RESTAURANT #12604,774 MAIN STREET,Bay Shore,NY,11934
WILLIAM FLOYD MIDDLE SCHOOL,630 MORICHES MIDDLE ISLAND RD.,Bay Shore,NY,11934
YOUR BAGEL CAFE,"504 MAIN STREET, STE. A",Bay Shore,NY,11934
BROTHERS FOUR,310 MAIN STREET,Brightwaters,NY,11934
BUCKLEYS IRISH PUB,386 MAIN STREET,Brightwaters,NY,11934
CARVEL,536 MAIN ST.,Brightwaters,NY,11934
CENTER MORICHES SECONDARY SCHO,311 FROWIEN ROAD,Brightwaters,NY,11934
CLAYTON HUEY ES,511 MAIN STREET,Brightwaters,NY,11934
DLC CATERING,617 MONTAUK HIGHWAY,Brightwaters,NY,11934
EL SABOR DEL PUEBLO,430-5 MAIN STREET,Brightwaters,NY,11934
GOURMET GARDEN,802 MAIN STREET,Brightwaters,NY,11934
KNIGHTS OF COLUMBUS,313 FROWEIN ROAD,Brightwaters,NY,11934
LA VOLPE,611 MONTAUK HIGHWAY,Brightwaters,NY,11934
MCDONALDS,626 MONTAUK HIGHWAY,Brightwaters,NY,11934
MICHELANGELO OF CENTER MO,794 MONTAUK HWY.,Brightwaters,NY,11934
MORICHES BAGEL DELI,329 MAIN STREET,Brightwaters,NY,11934
MORICHES NUTRITION PROGRAM,9 LAKE AVENUE,Brightwaters,NY,11934
MORICHES YACHT CLUB,UNION AVENUE,Brightwaters,NY,11934
NETTIES COUNTRY BAKERY,177 MONTAUK HIGHWAY,Brightwaters,NY,11934
OUR LADY QUEEN OF APOSTLES,2 ST JOHNS PLACE,Brightwaters,NY,11934
POWERHOUSE GYM,"15 FROWEIN ROAD, BLDG. D",Brightwaters,NY,11934
RAILROAD DELI,122 RAILROAD AVENUE,Brightwaters,NY,11934
SEA COVE RESTAURANT,361 MAIN STREET,Brightwaters,NY,11934
SEASONS OF CHINA TAKE OUT,391 MAIN STREET,Brightwaters,NY,11934
SENIX CREEK INN,50 SENIX AVENUE,Brightwaters,NY,11934
SUBWAY,615 MONTAUK HIGHWAY,Brightwaters,NY,11934
THE COTTAGE AT MORICHES,334 MAIN STREET,Brightwaters,NY,11934
ULTIMATE ICE CREAM & CAFE,252 MAIN STREET,Brightwaters,NY,11934
VFW #414,437 MAIN STREET,Brightwaters,NY,11934
WENDYS RESTAURANT #12604,774 MAIN STREET,Brightwaters,NY,11934
WILLIAM FLOYD MIDDLE SCHOOL,630 MORICHES MIDDLE ISLAND RD.,Brightwaters,NY,11934
YOUR BAGEL CAFE,"504 MAIN STREET, STE. A",Brightwaters,NY,11934
BROTHERS FOUR,310 MAIN STREET,Aquebogue,NY,11934
BUCKLEYS IRISH PUB,386 MAIN STREET,Aquebogue,NY,11934
CARVEL,536 MAIN ST.,Aquebogue,NY,11934
CENTER MORICHES SECONDARY SCHO,311 FROWIEN ROAD,Aquebogue,NY,11934
CLAYTON HUEY ES,511 MAIN STREET,Aquebogue,NY,11934
DLC CATERING,617 MONTAUK HIGHWAY,Aquebogue,NY,11934
EL SABOR DEL PUEBLO,430-5 MAIN STREET,Aquebogue,NY,11934
GOURMET GARDEN,802 MAIN STREET,Aquebogue,NY,11934
